"country";"Tercera";"Account_Name";"Account_ID_18";"accCreatedDate";"Opp_18";"oppPrimary_Deal_Services__c";"cupones";"Cash_in_USD"
"AR";NULL;"Gabriela Alejandra Desiata";"0014600000od8lbAAA";"2016-06-27";"00646000006QTIaAAO";"Home & Garden  Kitchen Tools & Utensils  Specialty Tools & Gadgets";4;218.92
"AR";"Accessories";"Bright touch, soportes de lcd";"0014600000od4kAAAQ";"2016-07-04";"00646000006QhPHAA0";"Electronics  Adapters";27;516.90
"AR";"Accessories";"Bright touch, soportes de lcd";"0014600000od4kAAAQ";"2016-07-04";"00646000006QWR1AAO";"Electronics  Adapters";65;2097.24
"AR";"Accessories";"Bright touch, soportes de lcd";"0014600000od4kAAAQ";"2016-07-04";"00646000006RK41AAG";"Electronics  Adapters";9;352.40
"AR";"Accessories";"Bright touch, soportes de lcd";"0014600000od4kAAAQ";"2016-07-04";"00646000006RKiZAAW";"Electronics  Adapters";3;35.36
"AR";"Accessories";"Bright touch, soportes de lcd";"0014600000od4kAAAQ";"2016-07-04";"00646000006RPYwAAO";"Electronics  Cables";18;221.08
"AR";"Accessories";"Bright touch, soportes de lcd";"0014600000od4kAAAQ";"2016-07-04";"00646000006RQF8AAO";"Electronics  Adapters";2;37.46
"AR";"Accessories";"Ilfa Corp";"0014600000od9YXAAY";"2017-01-30";"00646000006RSPYAA4";"Electronics  Tablet Accessories  Car Mounts";11;153.23
"AR";"Accessories";"Ilfa Corp";"0014600000od9YXAAY";"2017-01-30";"00646000006RSw7AAG";"Electronics  Tablet Accessories  Car Mounts";20;275.37
"AR";"Accommodation";"APARTUR BUENOS AIRES";"0014600000od8d3AAA";"2016-06-06";"00646000006RJrdAAG";"Resort";78;5579.66
"AR";"Accommodation";"Barradas Parque Hotel";"0014600000ocy2qAAA";"2017-06-09";"00646000006RUIDAA4";"Hotel  City";1;318.50
"AR";"Accommodation";"Cabañas Carilo Cottage";"0014600000od8j6AAA";"2016-07-01";"00646000006Qhv8AAC";"Cottage";16;1301.08
"AR";"Accommodation";"Carilo Cottage Nuevo Vat";"0014600000odAARAA2";"2016-05-30";"00646000006RPqsAAG";"Cottage";42;3628.64
"AR";"Accommodation";"Centro Guest House Buzios";"0014600000pCaNVAA0";"2017-08-09";"00646000006F6nLAAS";"Hotel  Beach";4;1070.12
"AR";"Accommodation";"Complejo de Cabañas Carilo Cottage";"0014600000ocxsvAAA";"2017-05-05";"00646000006RVcmAAG";"Cottage";46;5138.70
"AR";"Accommodation";"Hotel Imperial Las Perlas (ar)";"0014600000p2VGFAA2";"2016-08-02";"00646000006Qhi2AAC";"Hotel  Family  Beach";64;24646.44
"AR";"Accommodation";"Howard Johnson - San Pedro Hotel & Marinas";"0014600000ocxm1AAA";"2017-04-12";"00646000006RUB7AAO";"Resort";28;9798.79
